127.0.0.1 - - [11/Apr/2020:08:14:37 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:42 -0300] "GET /Farmacia/resources/img/drogariasfarmacias.jpg HTTP/1.1" 200 54378
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:47 -0300] "GET /Farmacia/ HTTP/1.1" 200 6992
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:47 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=1AB81E796824D8724300E00805FFC7F9?ln=css HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:47 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=1AB81E796824D8724300E00805FFC7F9?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:47 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=1AB81E796824D8724300E00805FFC7F9?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:47 -0300] "GET /Farmacia/faces/javax.faces.resource/scripts.js;jsessionid=1AB81E796824D8724300E00805FFC7F9?ln=js HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:47 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=1AB81E796824D8724300E00805FFC7F9?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:47 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=1AB81E796824D8724300E00805FFC7F9?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:47 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=1AB81E796824D8724300E00805FFC7F9?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:47 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=1AB81E796824D8724300E00805FFC7F9?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:47 -0300] "GET /Farmacia/resources/img/drogariasfarmacias.jpg HTTP/1.1" 200 54378
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:48 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:53 -0300] "GET /Farmacia/faces/pages/products.xhtml;jsessionid=1AB81E796824D8724300E00805FFC7F9 HTTP/1.1" 200 23196
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:53 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2788
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:18:12 -0300] "GET /Farmacia/ HTTP/1.1" 200 6508
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:23:58 -0300] "GET /Farmacia/ HTTP/1.1" 200 6532
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:24:35 -0300] "GET /Farmacia/ HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:24:41 -0300] "GET /Farmacia/ HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:24:48 -0300] "GET /Farmacia/ HTTP/1.1" 200 6547
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:24:54 -0300] "GET /Farmacia/ HTTP/1.1" 200 6544
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:25:01 -0300] "GET /Farmacia/ HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:25:08 -0300] "GET /Farmacia/ HTTP/1.1" 200 6543
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:25:52 -0300] "GET /Farmacia/ HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:25:57 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:26:03 -0300] "GET /Farmacia/ HTTP/1.1" 200 6556
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:26:07 -0300] "GET /Farmacia/ HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:26:13 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:26:27 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:26:40 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:26:45 -0300] "GET /Farmacia/ HTTP/1.1" 200 6556
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:26:54 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:27:00 -0300] "GET /Farmacia/ HTTP/1.1" 200 6556
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:27:07 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:27:14 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:27:19 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:27:29 -0300] "GET /Farmacia/ HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:27:34 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:27:45 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:27:54 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:28:03 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:28:30 -0300] "GET /Farmacia/ HTTP/1.1" 200 6532
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:28:49 -0300] "GET /Farmacia/ HTTP/1.1" 500 3432
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:28:59 -0300] "GET /Farmacia/ HTTP/1.1" 200 6532
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:29:34 -0300] "GET /Farmacia/ HTTP/1.1" 200 6532
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:29:45 -0300] "GET /Farmacia/ HTTP/1.1" 200 6608
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:30:27 -0300] "GET /Farmacia/ HTTP/1.1" 200 6608
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:30:43 -0300] "GET /Farmacia/ HTTP/1.1" 200 6546
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:30:50 -0300] "GET /Farmacia/ HTTP/1.1" 200 6546
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:30:55 -0300] "GET /Farmacia/ HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:31:04 -0300] "GET /Farmacia/ HTTP/1.1" 200 6544
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:31:09 -0300] "GET /Farmacia/ HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:31:14 -0300] "GET /Farmacia/ HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:31:24 -0300] "GET /Farmacia/ HTTP/1.1" 200 6547
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:31:29 -0300] "GET /Farmacia/ HTTP/1.1" 200 6543
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:33:01 -0300] "GET /Farmacia/ HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:33:10 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:33:21 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:33:25 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:33:26 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:33:33 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:33:35 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:33:39 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:33:44 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:33:57 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:34:07 -0300] "GET /Farmacia/ HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:34:17 -0300] "GET /Farmacia/ HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:34:23 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:34:33 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:34:50 -0300] "GET /Farmacia/ HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:34:59 -0300] "GET /Farmacia/ HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:35:10 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:35:19 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:35:26 -0300] "GET /Farmacia/ HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:35:29 -0300] "GET /Farmacia/ HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:35:32 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:35:40 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:35:53 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:36:23 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:37:08 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23237
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:37:08 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:37:11 -0300] "GET /Farmacia/faces/pages/providers.xhtml HTTP/1.1" 200 20256
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:37:11 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:37:12 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23237
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:37:12 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:37:27 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23242
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:37:27 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:37:42 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 500 5734
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:37:51 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23237
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:37:51 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:38:23 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23237
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:38:23 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:38:55 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23242
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:38:55 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:39:05 -0300] "GET /Farmacia HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:39:05 -0300] "GET /Farmacia/ HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:39:11 -0300] "GET /Farmacia/faces/pages/providers.xhtml HTTP/1.1" 200 20148
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:39:12 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23129
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:41:59 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 500 5854
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:42:06 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 500 5854
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:42:22 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 500 3404
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:42:38 -0300] "GET /Farmacia/ HTTP/1.1" 500 3404
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:42:48 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23673
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:46:49 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23709
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:46:52 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23699
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:47:02 -0300] "GET /Farmacia/ HTTP/1.1" 200 7124
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:47:06 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23699
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:47:10 -0300] "GET /Farmacia/faces/pages/products.xhtml HTTP/1.1" 200 23704
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:47:13 -0300] "GET /Farmacia/ HTTP/1.1" 200 7123
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:47:51 -0300] "GET /Farmacia/ HTTP/1.1" 500 5926
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:47:58 -0300] "GET /Farmacia/ HTTP/1.1" 200 7379
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:01 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7381
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:01 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:07 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:07 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:19 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7382
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:19 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:34 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:34 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:36 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:36 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/ HTTP/1.1" 200 7382
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-dot-luv HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/faces/javax.faces.resource/scripts.js?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/resources/img/drogariasfarmacias.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_20_111111_500x100.png?ln=primefaces-dot-luv HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:48:57 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_9ccdfc_256x240.png?ln=primefaces-dot-luv HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:49:10 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7378
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:49:10 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:49:12 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7380
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:49:12 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:49:17 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7379
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:49:17 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:49:21 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7381
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:49:21 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:49:27 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7381
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:49:27 -0300] "GET /Farmacia/faces/pages/resources/img/drogariasfarmacias.jpg HTTP/1.1" 500 2005
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:50:14 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7372
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:50:14 -0300] "GET /img/drogariasfarmacias.jpg HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:50:19 -0300] "GET /Farmacia HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:50:19 -0300] "GET /Farmacia/ HTTP/1.1" 200 7372
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:50:19 -0300] "GET /img/drogariasfarmacias.jpg HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:50:20 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7372
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:50:20 -0300] "GET /img/drogariasfarmacias.jpg HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:50:24 -0300] "GET /Farmacia/faces/pages/index.xhtml HTTP/1.1" 200 7371
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:50:24 -0300] "GET /img/drogariasfarmacias.jpg HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:50:26 -0300] "GET /Farmacia/faces/pages/providers.xhtml HTTP/1.1" 200 20971
